player,position,team,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense
Garang Kuol,FW,Australia,18-087,2004,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Gareth Bale,FW,Wales,33-148,1989,2.5,4,1.60,3,0,0,0,1,0,1,0.40,0,0,0,0,1,0
Gavi,MF,Spain,18-128,2004,3.2,5,1.58,4,0,0,0,1,0,1,0.32,1,0,0,0,0,0
Gaël Ondoua,MF,Cameroon,27-037,1995,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Georges-Kévin N'Koudou,FW,Cameroon,27-301,1995,0.3,1,3.33,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Germán Pezzella,DF,Argentina,31-167,1991,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Gerson Torres,MF,Costa Rica,25-105,1997,0.7,2,2.81,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Ghaylène Chaalali,MF,Tunisia,28-286,1994,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Gideon Mensah,DF,Ghana,24-146,1998,1.0,3,3.10,3,0,0,0,0,0,1,1.03,1,0,0,0,0,0
Gio Reyna,FW,United States,20-028,2002,0.6,2,3.40,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Giorgian De Arrascaeta,MF,Uruguay,28-193,1994,1.2,4,3.33,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Gleison Bremer,DF,Brazil,25-268,1997,1.2,1,0.83,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Gonzalo Montiel,DF,Argentina,25-344,1997,1.0,1,1.23,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Gonzalo Plata,MF,Ecuador,22-040,2000,3.0,3,1.00,1,1,0,0,1,0,0,0.00,0,0,0,0,0,0
Gonçalo Ramos,FW,Portugal,21-174,2001,1.7,2,1.18,2,0,0,0,0,0,1,0.59,1,0,0,0,0,0
Granit Xhaka,MF,Switzerland,30-075,1992,4.0,6,1.50,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Gregor Kobel,GK,Switzerland,25-005,1997,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Grzegorz Krychowiak,MF,Poland,32-316,1990,3.7,5,1.36,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Guido Rodríguez,MF,Argentina,28-243,1994,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Guillermo Ochoa,GK,Mexico,37-151,1985,3.0,3,1.00,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Guillermo Varela,DF,Uruguay,29-262,1993,2.0,2,0.98,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Haji Wright,FW,United States,24-259,1998,1.5,3,1.97,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Hakim Ziyech,FW,Morocco,29-267,1993,5.1,11,2.32,5,4,2,0,0,0,2,0.42,1,0,1,0,0,0
Hannibal Mejbri,MF,Tunisia,19-324,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Haris Seferović,FW,Switzerland,30-292,1992,0.8,1,1.27,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Harry Kane,FW,England,29-136,1993,4.5,10,2.24,5,0,1,3,1,0,3,0.67,3,0,0,0,0,0
Harry Maguire,DF,England,29-281,1993,4.8,6,1.26,3,0,1,0,1,1,1,0.21,1,0,0,0,0,0
Harry Souttar,DF,Australia,24-050,1998,4.0,2,0.50,2,0,0,0,0,0,1,0.25,1,0,0,0,0,0
Harry Wilson,MF,Wales,25-264,1997,1.8,4,2.25,1,3,0,0,0,0,0,0.00,0,0,0,0,0,0
Hassan Al Tambakti,DF,Saudi Arabia,23-305,1999,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Hassan Al-Haydos,MF,Qatar,32-000,1990,2.3,6,2.62,5,0,0,0,0,1,0,0.00,0,0,0,0,0,0
Hattan Bahebri,MF,Saudi Arabia,30-148,1992,0.0,1,22.50,1,0,0,0,0,0,1,22.50,1,0,0,0,0,0
Henry Martín,FW,Mexico,30-023,1992,1.6,6,3.70,5,0,0,0,1,0,1,0.62,0,0,0,0,1,0
Hernán Galíndez,GK,Ecuador,35-256,1987,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Hidemasa Morita,MF,Japan,27-215,1995,3.2,9,2.84,7,1,0,1,0,0,0,0.00,0,0,0,0,0,0
Hiroki Ito,DF,Japan,23-213,1999,0.5,1,2.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Hiroki Sakai,MF,Japan,32-243,1990,1.3,2,2.02,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Hirving Lozano,FW,Mexico,27-134,1995,2.8,20,7.14,13,2,1,0,4,0,0,0.00,0,0,0,0,0,0
Homam Ahmed,DF,Qatar,23-108,1999,2.9,3,1.03,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Hong Chul,DF,Korea Republic,32-085,1990,0.5,1,2.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Hossein Hosseini,GK,IR Iran,30-164,1992,1.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Hossein Kanaanizadegan,DF,IR Iran,28-263,1994,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Hugo Lloris,GK,France,35-350,1986,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Hwang Hee-chan,MF,Korea Republic,26-319,1996,1.3,3,2.35,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Hwang In-beom,MF,Korea Republic,26-082,1996,3.7,6,1.62,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Hwang Ui-jo,FW,Korea Republic,30-105,1992,1.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Héctor Herrera,MF,Mexico,32-236,1990,1.8,3,1.69,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Héctor Moreno,DF,Mexico,34-328,1988,3.0,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ibrahima Konaté,DF,France,23-200,1999,2.2,2,0.92,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0
Idrissa Gana Gueye,MF,Senegal,33-076,1989,3.0,7,2.33,5,1,0,0,1,0,1,0.33,0,0,0,0,1,0
Iliman Ndiaye,FW,Senegal,22-280,2000,1.5,4,2.65,3,0,1,0,0,0,2,1.32,2,0,0,0,0,0
Ismail Jakobs,DF,Senegal,23-116,1999,3.1,6,1.94,4,2,0,0,0,0,1,0.32,0,1,0,0,0,0
Ismail Mohamad,FW,Qatar,32-250,1990,1.9,,,,,,,,,,,,,,,,
Ismaila Sarr,FW,Senegal,24-289,1998,3.8,15,3.94,8,0,4,1,1,1,1,0.26,0,0,0,0,1,0
Ismaël Koné,MF,Canada,20-188,2002,1.2,2,1.67,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Issam Jebali,FW,Tunisia,30-351,1991,2.0,5,2.47,2,0,0,2,0,1,0,0.00,0,0,0,0,0,0
Ivan Ilić,MF,Serbia,21-269,2001,0.4,2,5.29,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ivan Perišić,FW,Croatia,33-312,1989,5.4,11,2.16,6,0,1,4,0,0,2,0.39,2,0,0,0,0,0
Iñaki Williams,FW,Ghana,28-179,1994,3.0,2,0.72,1,0,0,1,0,0,1,0.36,0,0,0,1,0,0
Jack Grealish,FW,England,27-092,1995,1.0,5,5.29,3,0,1,0,1,0,0,0.00,0,0,0,0,0,0
Jackson Irvine,MF,Australia,29-279,1993,3.9,3,0.76,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jackson Porozo,DF,Ecuador,22-129,2000,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jakub Kamiński,MF,Poland,20-189,2002,2.6,3,1.16,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jakub Kiwior,DF,Poland,22-299,2000,3.9,1,0.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jamal Musiala,MF,Germany,19-288,2003,2.9,22,7.67,15,0,4,2,1,0,1,0.35,1,0,0,0,0,0
Jamie Maclaren,FW,Australia,29-135,1993,0.6,1,1.64,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jan Bednarek,DF,Poland,26-243,1996,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jan Vertonghen,DF,Belgium,35-231,1987,3.0,1,0.33,1,0,0,0,0,0,1,0.33,1,0,0,0,0,0
Jason Cummings,FW,Australia,27-132,1995,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jawad El Yamiq,DF,Morocco,30-285,1992,1.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jean-Charles Castelletto,DF,Cameroon,27-319,1995,2.0,1,0.50,1,0,0,0,0,0,1,0.50,1,0,0,0,0,0
Jeong Woo-yeong,MF,Korea Republic,23-082,1999,0.5,1,2.00,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Jeremy Doku,MF,Belgium,20-198,2002,0.2,3,14.21,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jeremy Sarmiento,MF,Ecuador,20-178,2002,0.9,3,3.18,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jerome Ngom Mbekeli,MF,Cameroon,24-072,1998,0.1,1,18.00,1,0,0,0,0,0,1,18.00,1,0,0,0,0,0
Jesper Lindstrøm,MF,Denmark,22-285,2000,2.2,2,0.90,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Jesús Ferreira,FW,United States,21-352,2000,0.5,1,2.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jesús Gallardo,DF,Mexico,28-118,1994,3.0,7,2.33,6,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Jewison Bennette,MF,Costa Rica,18-179,2004,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jhegson Méndez,MF,Ecuador,25-229,1997,2.0,3,1.50,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Joachim Andersen,DF,Denmark,26-194,1996,3.0,5,1.67,4,0,0,1,0,0,1,0.33,0,0,0,1,0,0
Joakim Mæhle,DF,Denmark,25-205,1997,2.8,4,1.45,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Joe Allen,MF,Wales,32-272,1990,1.0,1,0.96,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Joe Morrell,MF,Wales,25-342,1997,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Joe Rodon,DF,Wales,25-050,1997,3.0,2,0.67,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Joel Campbell,FW,Costa Rica,30-168,1992,3.0,3,1.00,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Johan Venegas,FW,Costa Rica,34-014,1988,0.8,1,1.23,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0
John Stones,DF,England,28-197,1994,4.8,3,0.62,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Jonas Hofmann,FW,Germany,30-150,1992,0.3,4,12.00,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Jonathan David,FW,Canada,22-331,2000,2.1,1,0.47,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Jonathan Osorio,MF,Canada,30-182,1992,1.3,5,3.78,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Jordan Ayew,FW,Ghana,31-091,1991,1.5,7,4.63,3,2,0,1,1,0,2,1.32,1,0,0,0,1,0
Jordan Henderson,MF,England,32-177,1990,3.0,8,2.66,5,2,0,0,1,0,0,0.00,0,0,0,0,0,0
Jordan Morris,FW,United States,28-046,1994,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jordan Pickford,GK,England,28-279,1994,5.0,2,0.40,1,1,0,0,0,0,1,0.20,1,0,0,0,0,0
Jordan Veretout,MF,France,29-285,1993,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jordi Alba,DF,Spain,33-265,1989,2.9,11,3.75,9,1,0,0,1,0,4,1.36,3,0,0,0,1,0
Jorge Eduardo Sánchez,DF,Mexico,25-001,1997,1.9,5,2.57,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Josh Sargent,FW,United States,22-294,2000,1.7,2,1.15,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Joshua Kimmich,MF,Germany,27-306,1995,3.0,20,6.67,15,3,0,1,0,1,3,1.00,3,0,0,0,0,0
Josip Juranović,DF,Croatia,27-117,1995,5.7,12,2.40,10,2,0,0,0,0,2,0.40,2,0,0,0,0,0
José Cifuentes,MF,Ecuador,23-274,1999,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
José María Giménez,DF,Uruguay,27-325,1995,3.0,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
João Cancelo,DF,Portugal,28-198,1994,3.4,2,0.58,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
João Félix,FW,Portugal,23-031,1999,3.7,7,1.91,6,0,0,1,0,0,2,0.55,2,0,0,0,0,0
João Mário,FW,Portugal,29-326,1993,0.9,2,2.14,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
João Palhinha,MF,Portugal,27-155,1995,0.4,3,7.11,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Joško Gvardiol,DF,Croatia,20-322,2002,5.7,4,0.80,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Juan Pablo Vargas,DF,Costa Rica,27-188,1995,1.0,2,2.00,1,0,0,1,0,0,1,1.00,0,0,0,1,0,0
Jude Bellingham,MF,England,19-165,2003,4.6,17,3.70,12,0,2,3,0,0,6,1.31,5,0,1,0,0,0
Jules Koundé,DF,France,24-029,1998,3.0,4,1.33,4,0,0,0,0,0,1,0.33,1,0,0,0,0,0
Julián Álvarez,FW,Argentina,22-314,2000,3.2,4,1.25,2,0,0,2,0,0,0,0.00,0,0,0,0,0,0
Jung Woo-young,MF,Korea Republic,32-362,1989,3.4,7,2.08,7,0,0,0,0,0,1,0.30,1,0,0,0,0,0
Junior Hoilett,FW,Canada,32-189,1990,1.8,7,3.91,4,2,0,1,0,0,0,0.00,0,0,0,0,0,0
Junya Ito,MF,Japan,29-277,1993,3.6,10,3.06,4,2,1,1,1,1,2,0.61,2,0,0,0,0,0
Jurriën Timber,DF,Netherlands,21-177,2001,4.3,1,0.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kai Havertz,FW,Germany,23-183,1999,1.1,7,6.12,5,0,0,1,0,1,0,0.00,0,0,0,0,0,0
Kalidou Koulibaly,DF,Senegal,31-174,1991,4.0,4,1.00,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kalvin Phillips,MF,England,27-009,1995,0.5,1,2.14,1,0,0,0,0,0,1,2.14,1,0,0,0,0,0
Kamal Miller,DF,Canada,25-209,1997,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kamaldeen Sulemana,FW,Ghana,20-299,2002,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kamil Glik,DF,Poland,34-311,1988,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kamil Grosicki,MF,Poland,34-186,1988,0.0,2,45.00,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Kaoru Mitoma,MF,Japan,25-205,1997,1.8,9,6.00,5,0,1,1,1,1,1,0.67,1,0,0,0,0,0
Karim Ansarifard,FW,IR Iran,32-252,1990,0.4,3,7.50,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Karim Boudiaf,MF,Qatar,32-086,1990,2.1,3,1.46,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Karl Toko Ekambi,FW,Cameroon,30-088,1992,1.8,6,3.25,3,1,1,0,1,0,0,0.00,0,0,0,0,0,0
Karol Świderski,FW,Poland,25-322,1997,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kasper Dolberg,FW,Denmark,25-066,1997,1.3,2,1.58,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Kasper Schmeichel,GK,Denmark,36-036,1986,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Keanu Baccus,MF,Australia,24-187,1998,1.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kellyn Acosta,MF,United States,27-140,1995,0.5,1,2.14,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kendall Waston,DF,Costa Rica,34-344,1988,2.5,1,0.40,0,0,0,1,0,0,1,0.40,0,0,0,1,0,0
Kenneth Taylor,MF,Netherlands,20-209,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kevin De Bruyne,FW,Belgium,31-166,1991,3.0,11,3.67,6,3,0,1,1,0,0,0.00,0,0,0,0,0,0
Kevin Rodríguez,FW,Ecuador,22-282,2000,0.0,,,,,,,,,,,,,,,,
Kevin Álvarez,DF,Mexico,23-330,1999,0.8,1,1.29,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Keylor Navas,GK,Costa Rica,35-361,1986,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Keysher Fuller,DF,Costa Rica,28-153,1994,2.8,3,1.07,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kieffer Moore,FW,Wales,30-125,1992,2.5,6,2.40,5,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Kieran Trippier,DF,England,32-083,1990,2.3,5,2.18,0,5,0,0,0,0,0,0.00,0,0,0,0,0,0
Kim Jin-su,DF,Korea Republic,30-181,1992,3.5,7,2.00,6,0,0,0,0,1,1,0.29,1,0,0,0,0,0
Kim Min-jae,DF,Korea Republic,26-026,1996,3.0,1,0.33,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Kim Moonhwan,DF,Korea Republic,27-132,1995,4.0,7,1.75,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kim Seung-gyu,GK,Korea Republic,32-072,1990,4.0,1,0.25,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Kim Young-gwon,DF,Korea Republic,32-287,1990,3.9,5,1.29,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kingsley Coman,FW,France,26-181,1996,1.3,2,1.51,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Ko Itakura,DF,Japan,25-318,1997,3.0,2,0.67,0,1,0,1,0,0,1,0.33,0,1,0,0,0,0
Koke,MF,Spain,30-337,1992,0.6,1,1.73,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Krystian Bielik,MF,Poland,24-341,1998,2.4,1,0.42,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Krzysztof Piątek,FW,Poland,27-163,1995,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Krépin Diatta,FW,Senegal,23-289,1999,2.0,4,1.99,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Kudus Mohammed,FW,Ghana,22-131,2000,2.7,5,1.82,3,0,1,0,1,0,0,0.00,0,0,0,0,0,0
Kwon Chang-hoon,FW,Korea Republic,28-164,1994,0.6,2,3.21,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kwon Kyung-won,DF,Korea Republic,30-314,1992,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kye Rowles,DF,Australia,24-170,1998,4.0,1,0.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kyle Walker,DF,England,32-197,1990,2.6,3,1.14,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kylian Mbappé,FW,France,23-356,1998,4.3,35,8.12,24,1,4,4,2,0,6,1.39,5,0,0,1,0,0
Lautaro Martínez,FW,Argentina,25-111,1997,2.5,5,2.33,3,0,0,2,0,0,0,0.00,0,0,0,0,0,0
Lawrence Ati-Zigi,GK,Ghana,26-012,1996,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Leander Dendoncker,DF,Belgium,27-240,1995,1.8,3,1.68,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Leandro Paredes,MF,Argentina,28-165,1994,1.6,6,4.70,4,1,0,0,1,0,2,1.57,1,0,0,0,1,0
Leandro Trossard,FW,Belgium,28-007,1994,1.1,3,2.62,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Lee Jae-sung,MF,Korea Republic,30-123,1992,2.3,4,1.71,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Lee Kangin,MF,Korea Republic,21-295,2001,1.6,13,7.96,8,0,0,2,2,1,3,1.84,1,0,0,0,1,1
Leon Goretzka,MF,Germany,27-308,1995,1.8,1,0.57,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Leroy Sané,FW,Germany,26-334,1996,1.2,7,5.68,6,0,1,0,0,0,2,1.62,2,0,0,0,0,0
Liam Millar,DF,Canada,23-075,1999,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Lionel Messi,FW,Argentina,35-170,1987,5.3,32,6.40,20,3,2,1,5,1,3,0.60,3,0,0,0,0,0
Lisandro Martínez,DF,Argentina,24-327,1998,3.0,2,0.66,0,0,0,1,0,1,0,0.00,0,0,0,0,0,0
Lovro Majer,MF,Croatia,24-328,1998,0.6,1,5.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Loïs Openda,FW,Belgium,22-298,2000,0.1,2,13.85,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Lucas Cavallini,FW,Canada,29-348,1992,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Lucas Hernández,DF,France,26-300,1996,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Lucas Paquetá,MF,Brazil,25-106,1997,3.5,9,2.58,9,0,0,0,0,0,1,0.29,1,0,0,0,0,0
Luis Chávez,MF,Mexico,26-330,1996,3.0,14,4.67,7,3,1,2,1,0,1,0.33,0,1,0,0,0,0
Luis Suárez,FW,Uruguay,35-321,1987,1.6,3,1.85,1,0,0,1,1,0,2,1.23,1,0,0,1,0,0
Luka Jović,FW,Serbia,24-353,1997,0.4,1,2.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Luka Modrić,MF,Croatia,37-093,1985,5.4,12,2.38,10,2,0,0,0,0,0,0.00,0,0,0,0,0,0
Lukas Klostermann,DF,Germany,26-191,1996,0.7,1,1.36,1,0,0,0,0,0,1,1.36,1,0,0,0,0,0
Luke Shaw,DF,England,27-152,1995,4.7,13,2.76,10,2,1,0,0,0,3,0.64,2,1,0,0,0,0
Luuk de Jong,FW,Netherlands,32-106,1990,0.6,1,3.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Majid Hosseini,DF,IR Iran,26-174,1996,3.0,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Manuel Akanji,DF,Switzerland,27-145,1995,4.0,2,0.50,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Manuel Neuer,GK,Germany,36-259,1986,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Marcelo Brozović,MF,Croatia,30-025,1992,5.6,10,1.90,10,0,0,0,0,0,1,0.19,1,0,0,0,0,0
Marco Asensio,FW,Spain,26-324,1996,2.5,2,0.79,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Marcos Acuña,DF,Argentina,31-044,1991,3.5,5,1.42,2,2,0,0,1,0,1,0.28,0,0,0,0,1,0
Marcos Llorente,DF,Spain,27-315,1995,1.3,3,3.00,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Marcus Rashford,FW,England,25-041,1997,1.6,3,1.93,1,0,2,0,0,0,1,0.64,0,0,1,0,0,0
Marcus Thuram,FW,France,25-127,1997,0.5,1,1.96,1,0,0,0,0,0,1,1.96,1,0,0,0,0,0
Mario Götze,MF,Germany,30-191,1992,0.4,4,10.00,4,0,0,0,0,0,1,2.50,1,0,0,0,0,0
Mario Pašalić,FW,Croatia,27-305,1995,2.2,3,1.58,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Mark-Anthony Kaye,MF,Canada,28-009,1994,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Marko Grujić,MF,Serbia,26-242,1996,0.1,1,7.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Marko Livaja,FW,Croatia,29-107,1993,1.7,2,1.27,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Marquinhos,DF,Brazil,28-211,1994,4.7,9,2.04,8,0,0,1,0,0,1,0.23,1,0,0,0,0,0
Marten de Roon,MF,Netherlands,31-257,1991,2.0,1,0.49,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Martin Braithwaite,FW,Denmark,31-189,1991,1.1,3,2.62,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Martin Hongla,MF,Cameroon,24-270,1998,1.3,5,3.72,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Martinelli,FW,Brazil,21-176,2001,1.3,8,6.37,4,0,1,3,0,0,0,0.00,0,0,0,0,0,0
Martín Cáceres,DF,Uruguay,35-248,1987,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Mason Mount,MF,England,23-335,1999,2.1,2,0.96,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Mateo Kovačić,MF,Croatia,28-219,1994,5.1,9,1.78,9,0,0,0,0,0,1,0.20,1,0,0,0,0,0
Matheus Nunes,MF,Portugal,24-106,1998,0.8,1,1.23,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Mathew Leckie,MF,Australia,31-310,1991,3.7,6,1.62,5,0,1,0,0,0,1,0.27,0,0,1,0,0,0
Mathew Ryan,GK,Australia,30-247,1992,4.0,1,0.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Mathias Jensen,MF,Denmark,26-344,1996,0.9,5,5.36,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Mathías Olivera,DF,Uruguay,25-041,1997,2.8,9,3.20,8,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Matt Turner,GK,United States,28-170,1994,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Matthias Ginter,DF,Germany,28-326,1994,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Matthijs de Ligt,DF,Netherlands,23-121,1999,1.0,1,0.99,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Matty Cash,DF,Poland,25-126,1997,4.0,4,1.00,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Mattéo Guendouzi,FW,France,23-241,1999,0.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Matías Vecino,MF,Uruguay,31-109,1991,2.2,1,0.46,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Matías Viña,DF,Uruguay,25-032,1997,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Maxi Gómez,FW,Uruguay,26-119,1996,0.3,1,3.00,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0
