player,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors
Giorgian De Arrascaeta,MF,Uruguay,28-193,1994,1.2,3,1,2,1,0,0,4,0.0,4,1,0,1,2,5,1,0
Gleison Bremer,DF,Brazil,25-268,1997,1.2,1,1,1,0,0,0,1,0.0,1,1,0,1,1,2,6,0
Gonzalo Montiel,DF,Argentina,25-344,1997,1.0,2,1,1,1,0,1,1,100.0,0,1,0,1,1,3,1,0
Gonzalo Plata,MF,Ecuador,22-040,2000,3.0,3,2,2,1,0,2,8,25.0,6,3,0,3,2,5,0,0
Gonçalo Ramos,FW,Portugal,21-174,2001,1.7,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,2,0
Granit Xhaka,MF,Switzerland,30-075,1992,4.0,6,4,1,5,0,4,6,66.7,2,3,2,1,2,8,7,0
Gregor Kobel,GK,Switzerland,25-005,1997,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Grzegorz Krychowiak,MF,Poland,32-316,1990,3.7,9,4,2,5,2,1,7,14.3,6,5,3,2,5,14,4,0
Guido Rodríguez,MF,Argentina,28-243,1994,0.6,2,0,1,1,0,2,2,100.0,0,1,1,0,0,2,1,0
Guillermo Ochoa,GK,Mexico,37-151,1985,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Guillermo Varela,DF,Uruguay,29-262,1993,2.0,3,2,2,1,0,3,4,75.0,1,1,0,1,3,6,1,0
Haji Wright,FW,United States,24-259,1998,1.5,2,0,1,1,0,2,2,100.0,0,0,0,0,0,2,1,0
Hakim Ziyech,FW,Morocco,29-267,1993,5.1,9,6,4,4,1,4,10,40.0,6,9,0,9,6,15,4,1
Hannibal Mejbri,MF,Tunisia,19-324,2003,0.1,1,0,1,0,0,0,0,,0,0,0,0,1,2,0,0
Haris Seferović,FW,Switzerland,30-292,1992,0.8,0,0,0,0,0,0,0,,0,2,2,0,0,0,0,0
Harry Kane,FW,England,29-136,1993,4.5,2,1,1,1,0,1,1,100.0,0,2,1,1,0,2,5,0
Harry Maguire,DF,England,29-281,1993,4.8,7,3,4,3,0,1,2,50.0,1,4,3,1,4,11,18,0
Harry Souttar,DF,Australia,24-050,1998,4.0,4,0,3,1,0,2,3,66.7,1,7,4,3,6,10,22,0
Harry Wilson,MF,Wales,25-264,1997,1.8,4,2,1,3,0,1,1,100.0,0,1,0,1,1,5,3,0
Hassan Al Tambakti,DF,Saudi Arabia,23-305,1999,2.0,4,2,3,1,0,3,5,60.0,2,3,2,1,3,7,6,0
Hassan Al-Haydos,MF,Qatar,32-000,1990,2.3,4,1,2,2,0,2,8,25.0,6,0,0,0,2,6,1,0
Hattan Bahebri,MF,Saudi Arabia,30-148,1992,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Henry Martín,FW,Mexico,30-023,1992,1.6,1,1,1,0,0,1,2,50.0,1,2,0,2,2,3,1,0
Hernán Galíndez,GK,Ecuador,35-256,1987,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Hidemasa Morita,MF,Japan,27-215,1995,3.2,0,0,0,0,0,0,0,,0,9,2,7,3,3,4,0
Hiroki Ito,DF,Japan,23-213,1999,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Hiroki Sakai,MF,Japan,32-243,1990,1.3,5,4,3,1,1,2,4,50.0,2,2,2,0,1,6,8,0
Hirving Lozano,FW,Mexico,27-134,1995,2.8,7,2,1,5,1,3,4,75.0,1,4,0,4,0,7,1,0
Homam Ahmed,DF,Qatar,23-108,1999,2.9,2,2,2,0,0,1,3,33.3,2,0,0,0,2,4,1,0
Hong Chul,DF,Korea Republic,32-085,1990,0.5,0,0,0,0,0,0,0,,0,2,1,1,1,1,1,0
Hossein Hosseini,GK,IR Iran,30-164,1992,1.8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Hossein Kanaanizadegan,DF,IR Iran,28-263,1994,0.5,0,0,0,0,0,0,2,0.0,2,1,1,0,1,1,2,0
Hugo Lloris,GK,France,35-350,1986,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Hwang Hee-chan,MF,Korea Republic,26-319,1996,1.3,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
Hwang In-beom,MF,Korea Republic,26-082,1996,3.7,4,3,0,3,1,3,6,50.0,3,1,0,1,3,7,2,0
Hwang Ui-jo,FW,Korea Republic,30-105,1992,1.2,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,1,0
Héctor Herrera,MF,Mexico,32-236,1990,1.8,4,3,2,2,0,2,4,50.0,2,1,0,1,3,7,0,0
Héctor Moreno,DF,Mexico,34-328,1988,3.0,2,1,2,0,0,1,1,100.0,0,2,1,1,1,3,4,0
Ibrahima Konaté,DF,France,23-200,1999,2.2,13,6,10,3,0,3,3,100.0,0,1,0,1,2,15,10,0
Idrissa Gana Gueye,MF,Senegal,33-076,1989,3.0,2,1,1,1,0,0,1,0.0,1,3,0,3,5,7,3,0
Iliman Ndiaye,FW,Senegal,22-280,2000,1.5,0,0,0,0,0,0,2,0.0,2,2,0,2,1,1,0,0
Ismail Jakobs,DF,Senegal,23-116,1999,3.1,0,0,0,0,0,0,1,0.0,1,3,0,3,4,4,14,0
Ismail Mohamad,FW,Qatar,32-250,1990,1.9,,2,,,,,,,,,,,2,,,
Ismaila Sarr,FW,Senegal,24-289,1998,3.8,4,2,1,2,1,2,3,66.7,1,2,0,2,2,6,1,0
Ismaël Koné,MF,Canada,20-188,2002,1.2,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0
Issam Jebali,FW,Tunisia,30-351,1991,2.0,3,3,1,1,1,0,1,0.0,1,1,0,1,0,3,3,0
Ivan Ilić,MF,Serbia,21-269,2001,0.4,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Ivan Perišić,FW,Croatia,33-312,1989,5.4,4,2,2,2,0,3,5,60.0,2,9,1,8,4,8,6,0
Iñaki Williams,FW,Ghana,28-179,1994,3.0,4,2,0,1,3,1,2,50.0,1,3,0,3,0,4,2,0
Jack Grealish,FW,England,27-092,1995,1.0,3,1,2,1,0,0,0,,0,2,0,2,3,6,1,0
Jackson Irvine,MF,Australia,29-279,1993,3.9,4,2,1,3,0,2,4,50.0,2,7,0,7,3,7,8,0
Jackson Porozo,DF,Ecuador,22-129,2000,1.1,2,2,1,1,0,0,0,,0,1,0,1,3,5,4,0
Jakub Kamiński,MF,Poland,20-189,2002,2.6,6,1,3,3,0,3,4,75.0,1,4,1,3,0,6,2,0
Jakub Kiwior,DF,Poland,22-299,2000,3.9,2,1,2,0,0,1,1,100.0,0,4,2,2,4,6,15,2
Jamal Musiala,MF,Germany,19-288,2003,2.9,1,1,0,0,1,1,2,50.0,1,3,1,2,1,2,0,0
Jamie Maclaren,FW,Australia,29-135,1993,0.6,0,0,0,0,0,0,3,0.0,3,0,0,0,1,1,0,0
Jan Bednarek,DF,Poland,26-243,1996,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jan Vertonghen,DF,Belgium,35-231,1987,3.0,0,0,0,0,0,0,1,0.0,1,2,2,0,5,5,12,0
Jason Cummings,FW,Australia,27-132,1995,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jawad El Yamiq,DF,Morocco,30-285,1992,1.7,3,1,3,0,0,2,2,100.0,0,4,4,0,2,5,16,0
Jean-Charles Castelletto,DF,Cameroon,27-319,1995,2.0,3,3,2,1,0,0,1,0.0,1,2,1,1,6,9,12,0
Jeong Woo-yeong,MF,Korea Republic,23-082,1999,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Jeremy Doku,MF,Belgium,20-198,2002,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jeremy Sarmiento,MF,Ecuador,20-178,2002,0.9,2,1,0,1,1,0,1,0.0,1,0,0,0,1,3,0,0
Jerome Ngom Mbekeli,MF,Cameroon,24-072,1998,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Jesper Lindstrøm,MF,Denmark,22-285,2000,2.2,1,1,0,1,0,1,3,33.3,2,4,0,4,1,2,1,0
Jesús Ferreira,FW,United States,21-352,2000,0.5,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
Jesús Gallardo,DF,Mexico,28-118,1994,3.0,9,5,5,4,0,3,8,37.5,5,5,1,4,1,10,10,0
Jewison Bennette,MF,Costa Rica,18-179,2004,1.1,0,0,0,0,0,0,3,0.0,3,2,0,2,0,0,0,0
Jhegson Méndez,MF,Ecuador,25-229,1997,2.0,2,2,1,1,0,1,1,100.0,0,4,0,4,1,3,1,0
Joachim Andersen,DF,Denmark,26-194,1996,3.0,4,2,2,1,1,0,2,0.0,2,2,1,1,0,4,12,0
Joakim Mæhle,DF,Denmark,25-205,1997,2.8,9,5,4,3,2,5,7,71.4,2,7,3,4,2,11,6,0
Joe Allen,MF,Wales,32-272,1990,1.0,1,1,1,0,0,1,2,50.0,1,1,0,1,1,2,4,0
Joe Morrell,MF,Wales,25-342,1997,0.4,3,2,1,2,0,0,1,0.0,1,2,0,2,1,4,0,0
Joe Rodon,DF,Wales,25-050,1997,3.0,2,2,1,1,0,1,2,50.0,1,2,2,0,4,6,13,0
Joel Campbell,FW,Costa Rica,30-168,1992,3.0,9,5,2,5,2,1,2,50.0,1,3,0,3,0,9,4,0
Johan Venegas,FW,Costa Rica,34-014,1988,0.8,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0
John Stones,DF,England,28-197,1994,4.8,2,2,2,0,0,2,2,100.0,0,3,3,0,1,3,8,0
Jonas Hofmann,FW,Germany,30-150,1992,0.3,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,0,0
Jonathan David,FW,Canada,22-331,2000,2.1,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
Jonathan Osorio,MF,Canada,30-182,1992,1.3,2,1,0,1,1,2,4,50.0,2,0,0,0,1,3,1,0
Jordan Ayew,FW,Ghana,31-091,1991,1.5,3,3,1,2,0,0,1,0.0,1,0,0,0,1,4,1,0
Jordan Henderson,MF,England,32-177,1990,3.0,4,2,2,2,0,2,2,100.0,0,3,1,2,1,5,0,0
Jordan Morris,FW,United States,28-046,1994,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jordan Pickford,GK,England,28-279,1994,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Jordan Veretout,MF,France,29-285,1993,0.7,2,0,0,2,0,1,1,100.0,0,0,0,0,0,2,2,0
Jordi Alba,DF,Spain,33-265,1989,2.9,6,4,2,4,0,2,5,40.0,3,2,0,2,3,9,2,0
Jorge Eduardo Sánchez,DF,Mexico,25-001,1997,1.9,1,0,1,0,0,1,1,100.0,0,2,0,2,3,4,8,0
Josh Sargent,FW,United States,22-294,2000,1.7,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0
Joshua Kimmich,MF,Germany,27-306,1995,3.0,5,2,3,2,0,3,6,50.0,3,6,1,5,3,8,1,0
Josip Juranović,DF,Croatia,27-117,1995,5.7,8,6,7,1,0,7,7,100.0,0,5,3,2,3,11,15,0
José Cifuentes,MF,Ecuador,23-274,1999,0.7,2,2,1,1,0,0,2,0.0,2,1,0,1,0,2,1,0
José María Giménez,DF,Uruguay,27-325,1995,3.0,4,1,3,1,0,2,7,28.6,5,6,5,1,7,11,11,0
João Cancelo,DF,Portugal,28-198,1994,3.4,7,3,1,2,4,4,5,80.0,1,1,1,0,2,9,8,0
João Félix,FW,Portugal,23-031,1999,3.7,4,2,2,2,0,0,3,0.0,3,0,0,0,1,5,1,0
João Mário,FW,Portugal,29-326,1993,0.9,2,1,0,1,1,2,3,66.7,1,2,0,2,0,2,0,0
João Palhinha,MF,Portugal,27-155,1995,0.4,2,1,1,1,0,0,1,0.0,1,1,0,1,1,3,1,0
Joško Gvardiol,DF,Croatia,20-322,2002,5.7,6,3,3,3,0,4,5,80.0,1,6,3,3,8,14,32,0
Juan Pablo Vargas,DF,Costa Rica,27-188,1995,1.0,4,3,4,0,0,3,3,100.0,0,0,0,0,2,6,10,0
Jude Bellingham,MF,England,19-165,2003,4.6,16,15,5,6,5,5,6,83.3,1,10,0,10,5,21,0,0
Jules Koundé,DF,France,24-029,1998,3.0,4,3,3,0,1,2,4,50.0,2,4,3,1,3,7,4,0
Julián Álvarez,FW,Argentina,22-314,2000,3.2,3,2,2,0,1,0,0,,0,6,0,6,0,3,3,0
Jung Woo-young,MF,Korea Republic,32-362,1989,3.4,5,4,3,2,0,2,3,66.7,1,3,1,2,3,8,7,0
Junior Hoilett,FW,Canada,32-189,1990,1.8,8,4,1,2,5,3,4,75.0,1,0,0,0,1,9,0,0
Junya Ito,MF,Japan,29-277,1993,3.6,7,4,3,3,1,5,9,55.6,4,4,1,3,5,12,6,0
Jurriën Timber,DF,Netherlands,21-177,2001,4.3,12,6,5,7,0,6,6,100.0,0,1,0,1,10,22,13,0
Kai Havertz,FW,Germany,23-183,1999,1.1,1,1,0,1,0,0,1,0.0,1,0,0,0,1,2,0,0
Kalidou Koulibaly,DF,Senegal,31-174,1991,4.0,12,9,10,2,0,7,11,63.6,4,4,1,3,2,14,30,0
Kalvin Phillips,MF,England,27-009,1995,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Kamal Miller,DF,Canada,25-209,1997,3.0,6,4,5,1,0,2,3,66.7,1,1,1,0,4,10,11,1
Kamaldeen Sulemana,FW,Ghana,20-299,2002,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Kamil Glik,DF,Poland,34-311,1988,4.0,2,1,1,1,0,2,3,66.7,1,2,1,1,3,5,23,0
Kamil Grosicki,MF,Poland,34-186,1988,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Kaoru Mitoma,MF,Japan,25-205,1997,1.8,7,2,6,0,1,3,3,100.0,0,4,1,3,2,9,5,0
Karim Ansarifard,FW,IR Iran,32-252,1990,0.4,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
Karim Boudiaf,MF,Qatar,32-086,1990,2.1,2,1,0,2,0,2,5,40.0,3,0,0,0,0,2,3,0
Karl Toko Ekambi,FW,Cameroon,30-088,1992,1.8,1,1,0,1,0,0,1,0.0,1,1,0,1,2,3,0,0
Karol Świderski,FW,Poland,25-322,1997,0.5,4,1,1,1,2,2,3,66.7,1,0,0,0,2,6,0,0
Kasper Dolberg,FW,Denmark,25-066,1997,1.3,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0
Kasper Schmeichel,GK,Denmark,36-036,1986,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Keanu Baccus,MF,Australia,24-187,1998,1.3,1,1,1,0,0,0,2,0.0,2,5,0,5,2,3,1,0
Kellyn Acosta,MF,United States,27-140,1995,0.5,3,2,3,0,0,2,2,100.0,0,0,0,0,0,3,0,0
Kendall Waston,DF,Costa Rica,34-344,1988,2.5,7,4,6,1,0,3,4,75.0,1,2,1,1,5,12,14,0
Kenneth Taylor,MF,Netherlands,20-209,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Kevin De Bruyne,FW,Belgium,31-166,1991,3.0,1,1,1,0,0,0,2,0.0,2,2,0,2,0,1,3,0
Kevin Rodríguez,FW,Ecuador,22-282,2000,0.0,,0,,,,,,,,,,,0,,,
Kevin Álvarez,DF,Mexico,23-330,1999,0.8,1,0,1,0,0,1,1,100.0,0,2,0,2,1,2,2,0
Keylor Navas,GK,Costa Rica,35-361,1986,3.0,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,2,1
Keysher Fuller,DF,Costa Rica,28-153,1994,2.8,4,4,3,1,0,3,7,42.9,4,2,0,2,3,7,9,0
Kieffer Moore,FW,Wales,30-125,1992,2.5,1,0,1,0,0,0,0,,0,3,1,2,2,3,7,0
Kieran Trippier,DF,England,32-083,1990,2.3,6,4,4,2,0,5,6,83.3,1,3,1,2,1,7,4,0
Kim Jin-su,DF,Korea Republic,30-181,1992,3.5,10,5,6,2,2,5,6,83.3,1,2,0,2,3,13,5,0
Kim Min-jae,DF,Korea Republic,26-026,1996,3.0,2,1,2,0,0,1,1,100.0,0,5,1,4,2,4,8,0
Kim Moonhwan,DF,Korea Republic,27-132,1995,4.0,9,4,6,2,1,5,6,83.3,1,3,1,2,4,13,16,0
Kim Seung-gyu,GK,Korea Republic,32-072,1990,4.0,0,0,0,0,0,0,0,,0,0,0,0,2,2,2,0
Kim Young-gwon,DF,Korea Republic,32-287,1990,3.9,3,2,3,0,0,1,2,50.0,1,3,2,1,3,6,11,0
Kingsley Coman,FW,France,26-181,1996,1.3,0,0,0,0,0,0,0,,0,1,0,1,2,2,1,0
Ko Itakura,DF,Japan,25-318,1997,3.0,9,5,4,4,1,3,4,75.0,1,1,0,1,4,13,16,0
Koke,MF,Spain,30-337,1992,0.6,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
Krystian Bielik,MF,Poland,24-341,1998,2.4,5,3,1,3,1,2,4,50.0,2,1,0,1,5,10,6,0
Krzysztof Piątek,FW,Poland,27-163,1995,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Krépin Diatta,FW,Senegal,23-289,1999,2.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Kudus Mohammed,FW,Ghana,22-131,2000,2.7,5,4,3,0,2,1,2,50.0,1,4,0,4,1,6,0,0
Kwon Chang-hoon,FW,Korea Republic,28-164,1994,0.6,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
Kwon Kyung-won,DF,Korea Republic,30-314,1992,1.0,0,0,0,0,0,0,0,,0,1,1,0,2,2,5,0
Kye Rowles,DF,Australia,24-170,1998,4.0,8,2,5,3,0,4,7,57.1,3,9,7,2,7,15,16,1
Kyle Walker,DF,England,32-197,1990,2.6,3,1,2,1,0,3,5,60.0,2,2,0,2,3,6,3,0
Kylian Mbappé,FW,France,23-356,1998,4.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Lautaro Martínez,FW,Argentina,25-111,1997,2.5,0,0,0,0,0,0,0,,0,1,1,0,1,1,0,0
Lawrence Ati-Zigi,GK,Ghana,26-012,1996,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Leander Dendoncker,DF,Belgium,27-240,1995,1.8,6,3,4,2,0,4,4,100.0,0,4,3,1,0,6,5,0
Leandro Paredes,MF,Argentina,28-165,1994,1.6,5,3,2,3,0,2,2,100.0,0,0,0,0,2,7,2,0
Leandro Trossard,FW,Belgium,28-007,1994,1.1,1,1,0,1,0,1,1,100.0,0,1,0,1,0,1,0,0
Lee Jae-sung,MF,Korea Republic,30-123,1992,2.3,5,2,1,2,2,1,8,12.5,7,3,0,3,3,8,2,0
Lee Kangin,MF,Korea Republic,21-295,2001,1.6,4,3,1,2,1,2,5,40.0,3,0,0,0,0,4,0,0
Leon Goretzka,MF,Germany,27-308,1995,1.8,5,3,2,3,0,2,2,100.0,0,1,0,1,1,6,0,0
Leroy Sané,FW,Germany,26-334,1996,1.2,1,1,1,0,0,0,4,0.0,4,2,0,2,0,1,1,0
Liam Millar,DF,Canada,23-075,1999,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Lionel Messi,FW,Argentina,35-170,1987,5.3,3,2,0,2,1,0,1,0.0,1,1,0,1,0,3,0,0
Lisandro Martínez,DF,Argentina,24-327,1998,3.0,5,1,4,1,0,1,1,100.0,0,3,1,2,3,8,12,0
Lovro Majer,MF,Croatia,24-328,1998,0.6,2,1,1,1,0,1,2,50.0,1,0,0,0,0,2,1,0
Loïs Openda,FW,Belgium,22-298,2000,0.1,1,0,0,1,0,0,0,,0,1,0,1,0,1,0,0
Lucas Cavallini,FW,Canada,29-348,1992,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Lucas Hernández,DF,France,26-300,1996,0.1,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,0,0
Lucas Paquetá,MF,Brazil,25-106,1997,3.5,7,5,5,1,1,2,5,40.0,3,5,1,4,2,9,4,0
Luis Chávez,MF,Mexico,26-330,1996,3.0,1,0,0,1,0,1,4,25.0,3,6,0,6,1,2,3,0
Luis Suárez,FW,Uruguay,35-321,1987,1.6,1,0,0,0,1,0,3,0.0,3,0,0,0,0,1,2,0
Luka Jović,FW,Serbia,24-353,1997,0.4,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
Luka Modrić,MF,Croatia,37-093,1985,5.4,12,7,2,9,1,5,10,50.0,5,4,2,2,8,20,0,0
Lukas Klostermann,DF,Germany,26-191,1996,0.7,3,1,0,3,0,2,3,66.7,1,0,0,0,0,3,1,0
Luke Shaw,DF,England,27-152,1995,4.7,3,1,1,0,2,1,2,50.0,1,2,0,2,4,7,5,0
Luuk de Jong,FW,Netherlands,32-106,1990,0.6,2,1,0,2,0,0,0,,0,0,0,0,0,2,1,0
Majid Hosseini,DF,IR Iran,26-174,1996,3.0,7,4,6,1,0,6,9,66.7,3,3,2,1,6,13,11,0
Manuel Akanji,DF,Switzerland,27-145,1995,4.0,4,2,2,0,2,3,4,75.0,1,4,3,1,3,7,12,0
Manuel Neuer,GK,Germany,36-259,1986,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2
Marcelo Brozović,MF,Croatia,30-025,1992,5.6,12,6,8,1,3,3,9,33.3,6,13,7,6,3,15,7,0
Marco Asensio,FW,Spain,26-324,1996,2.5,1,1,0,0,1,0,0,,0,1,0,1,0,1,0,0
Marcos Acuña,DF,Argentina,31-044,1991,3.5,10,6,9,1,0,6,6,100.0,0,6,1,5,2,12,8,0
Marcos Llorente,DF,Spain,27-315,1995,1.3,0,0,0,0,0,0,4,0.0,4,0,0,0,0,0,0,0
Marcus Rashford,FW,England,25-041,1997,1.6,1,0,0,0,1,1,2,50.0,1,2,0,2,1,2,1,0
Marcus Thuram,FW,France,25-127,1997,0.5,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Mario Götze,MF,Germany,30-191,1992,0.4,1,0,1,0,0,1,1,100.0,0,2,0,2,0,1,0,0
Mario Pašalić,FW,Croatia,27-305,1995,2.2,5,3,2,2,1,2,6,33.3,4,4,2,2,2,7,2,0
Mark-Anthony Kaye,MF,Canada,28-009,1994,0.7,2,1,1,1,0,2,3,66.7,1,0,0,0,0,2,0,0
Marko Grujić,MF,Serbia,26-242,1996,0.1,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,1,0
Marko Livaja,FW,Croatia,29-107,1993,1.7,1,1,0,0,1,0,2,0.0,2,1,0,1,0,1,1,0
Marquinhos,DF,Brazil,28-211,1994,4.7,5,4,3,2,0,4,5,80.0,1,6,1,5,2,7,6,0
Marten de Roon,MF,Netherlands,31-257,1991,2.0,7,5,3,3,1,1,5,20.0,4,4,0,4,2,9,6,0
Martin Braithwaite,FW,Denmark,31-189,1991,1.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Martin Hongla,MF,Cameroon,24-270,1998,1.3,0,0,0,0,0,0,0,,0,2,1,1,2,2,3,0
Martinelli,FW,Brazil,21-176,2001,1.3,2,1,1,1,0,1,2,50.0,1,2,0,2,0,2,1,0
Martín Cáceres,DF,Uruguay,35-248,1987,1.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,2,0
Mason Mount,MF,England,23-335,1999,2.1,2,2,1,0,1,0,0,,0,2,0,2,0,2,0,0
Mateo Kovačić,MF,Croatia,28-219,1994,5.1,15,12,4,9,2,3,9,33.3,6,4,1,3,4,19,4,0
Matheus Nunes,MF,Portugal,24-106,1998,0.8,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Mathew Leckie,MF,Australia,31-310,1991,3.7,4,4,1,3,0,2,5,40.0,3,5,0,5,1,5,6,0
Mathew Ryan,GK,Australia,30-247,1992,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,1
Mathias Jensen,MF,Denmark,26-344,1996,0.9,1,0,0,1,0,1,1,100.0,0,2,0,2,0,1,0,0
Mathías Olivera,DF,Uruguay,25-041,1997,2.8,9,5,7,2,0,4,7,57.1,3,9,0,9,2,11,10,0
Matt Turner,GK,United States,28-170,1994,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Matthias Ginter,DF,Germany,28-326,1994,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Matthijs de Ligt,DF,Netherlands,23-121,1999,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0
Matty Cash,DF,Poland,25-126,1997,4.0,4,3,3,1,0,3,6,50.0,3,7,2,5,0,4,17,0
Mattéo Guendouzi,FW,France,23-241,1999,0.9,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0
Matías Vecino,MF,Uruguay,31-109,1991,2.2,4,3,1,2,1,1,3,33.3,2,6,2,4,4,8,1,0
Matías Viña,DF,Uruguay,25-032,1997,0.2,4,3,4,0,0,2,2,100.0,0,0,0,0,0,4,0,0
Maxi Gómez,FW,Uruguay,26-119,1996,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Maya Yoshida,DF,Japan,34-109,1988,4.3,4,4,0,4,0,1,1,100.0,0,6,3,3,3,7,24,0
Mehdi Taremi,FW,IR Iran,30-146,1992,3.0,4,3,2,2,0,2,5,40.0,3,5,1,4,2,6,3,0
Mehdi Torabi,MF,IR Iran,28-092,1994,0.7,1,0,1,0,0,1,3,33.3,2,1,0,1,2,3,0,0
Memphis,FW,Netherlands,28-301,1994,3.3,1,1,0,1,0,1,2,50.0,1,4,0,4,1,2,0,1
Meshaal Barsham,GK,Qatar,24-300,1998,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1
Michael Estrada,FW,Ecuador,26-248,1996,2.5,1,0,0,1,0,0,1,0.0,1,4,1,3,0,1,0,0
Michał Skóraś,MF,Poland,22-299,2000,0.5,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
Michel Aebischer,MF,Switzerland,25-339,1997,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Michy Batshuayi,FW,Belgium,29-070,1993,1.7,1,0,0,1,0,1,1,100.0,0,1,0,1,0,1,0,0
Miki Yamane,DF,Japan,28-354,1993,0.7,1,0,0,1,0,0,0,,0,2,0,2,2,3,0,0
Mikkel Damsgaard,MF,Denmark,22-161,2000,1.7,4,2,2,2,0,0,4,0.0,4,2,0,2,2,6,1,0
Milad Mohammadi,DF,IR Iran,29-073,1993,2.2,10,3,7,3,0,3,4,75.0,1,2,0,2,1,11,6,0
Milan Borjan,GK,Canada,35-049,1987,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,1
Miloš Degenek,DF,Australia,28-227,1994,2.0,6,4,6,0,0,5,6,83.3,1,2,1,1,1,7,9,0
Miloš Veljković,DF,Serbia,27-076,1995,2.5,4,1,4,0,0,2,2,100.0,0,2,2,0,0,4,7,0
Mislav Oršić,FW,Croatia,29-347,1992,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Mitchell Duke,FW,Australia,31-327,1991,3.0,0,0,0,0,0,0,0,,0,5,0,5,2,2,1,0
Mohamed Ali Ben Romdhane,MF,Tunisia,23-096,1999,0.8,5,4,1,4,0,3,3,100.0,0,1,0,1,0,5,0,0
Mohamed Dräger,DF,Tunisia,26-169,1996,1.5,5,3,3,2,0,4,4,100.0,0,0,0,0,1,6,4,0
